index,Address,Categories,City,Cuisines,Menu,Restaurants,Zip Code,Province,$,$$$
19436,133 W Main St,"Bar,American Restaurant,Bar and American Restaurant",Northville,American,Tacos,Northville Sports Den,48167,MI,25,40
20460,9595 Six Pines Dr,"Mexican Restaurant,Burrito Place,Taco Place,Restaurant",Spring,Fast Food,Tacos,Chipotle Mexican Grill,77380,TX,0,25
20500,5680 Mayberry Sq N,"Mexican Restaurant,Restaurants,Mexican & Latin American Grocery Stores,Mexican Restaurants",Sylvania,Restaurants,Tacos,Sundown Cantina,43560,OH,0,25
20674,2216 S Atlantic Blvd,"Taco Place,Mexican Restaurant",Los Angeles,Latin American Restaurants,Tacos,Sergio's Tacos,90040,CA,0,25
21306,1712 Boston Post Rd,"Mexican Foods,Mexican Restaurant, Cajun / Creole Restaurant, and Breakfast Spot,Mexican Restaurants,Mexican Restaurant,Cajun / Creole Restaurant,Breakfast Spot",Old Saybrook,Mexican,Tacos,Cuckoo's Nest,6475,CT,25,40
21553,2796 E Point St,"Vegetarian / Vegan Restaurant and Salad Place,Vegetarian / Vegan Restaurant,Salad Place",Atlanta,Vegetarian,Tacos,Lov'n It Live,30344,GA,25,40
22442,8020 S Dixie Hwy,Vegetarian / Vegan Restaurant,West Palm Beach,Vegetarian,Tacos,Darbster,33405,FL,25,40
22712,1024 E 7th St,"Restaurant,Mexican Restaurant",Odessa,Mexican,Tacos,La Bodega,79761,TX,25,40
22811,2100 Standiford Ave,"Take Out Restaurants,Caterers,Restaurants,Mexican Restaurants,Mexican Restaurant",Modesto,Take Out Restaurants,Tacos,La Huerta Vieja,95350,CA,25,40
22990,7995 Amador Valley Blvd,Mexican Restaurant,Dublin,Latin American Restaurants,Tacos,Casa Orozco,94568,CA,25,40
23289,16 E Main St,"American Restaurants,Caterers,Family Style Restaurants,Bars,Night Clubs,Take Out Restaurants,Restaurants,American Restaurant,Bar",Freehold,American Restaurants,Tacos,The Court Jester,7728,Georgia,25,40
23575,939 N W Bond St,"Restaurant,Cocktail Bar",Bend,"American, Gastro Pub",Tacos,The Astro Lounge,97701,OR,0,30
24038,592 12th Ave S,"Restaurants,Catering,Restaurant,Mexican Restaurant",Nashville,"Mexican,Seafood,Mexican, Seafood, Steak",Tacos,Cantina Laredo,37203,TN,25,40
25288,3425 N 12th Ave,"Mexican Restaurant,Burrito Place,Coffee Shop,Business Consultants,Business Management Consultants,Mexican Restaurant, Burrito Place, and Coffee Shop",Pensacola,Take Out Restaurants,Tacos,Cactus Flower Cafe,32503,FL,25,40
25536,2448 Rt 30,"Taco Place,Mexican Restaurant,Taco Place and Mexican Restaurant",Oswego,Mexican,Tacos,Arandas Tacos,60543-8974,IL,0,25
25575,6581 Edinger Ave,Mexican Restaurant,Huntington Beach,Mexican,Tacos,George's Mexican,92647,CA,0,25
25906,4225 E Sahara Ave,"Mexican Restaurant,Restaurants,Mexican Restaurants,Take Out Restaurants,Caterers,Latin American Restaurants",Las Vegas,"Mexican,Mexican Restaurants,Latin American Restaurants",Tacos,Abuelas Tacos,89104,NV,0,25
25913,200 W Water St,"Latin American Restaurant, Bar, and Music Venue,Music Venue,Latin American Restaurant,Bar",Charlottesville,Take Out Restaurants,Tacos,Mono Loco,22902,VA,25,40
25970,6100 O St,Burrito Place and Mexican Restaurant,Lincoln,Mexican Restaurants,Tacos,Qdoba Mexican Grill,68505,NE,0,25
26053,430 S Rampart Blvd,Restaurant,Las Vegas,Mexican,Tacos,Cantina Laredo - Las Vegas,89145,NV,0,30
26841,10426 National Blvd,"Mexican Restaurant,Restaurant,Take Out Restaurants,Latin American Restaurants,Mexican Restaurant Palms,Restaurant Delivery Service,Caterers,Restaurants,Breakfast Brunch & Lunch Restaurants,,Family Style Restaurants,Mexican Restaurants",Los Angeles,Take Out Restaurants,Tacos,El Nopal,90034,CA,25,40
27119,4250 Burbank Dr,"Burrito Place and Mexican Restaurant,Restaurants,Mexican Restaurants,Caterers,Take Out Restaurants,Fast Food Restaurants",Baton Rouge,Restaurants,Tacos,Izzo's Illegal Burrito,70808,LA,25,40
27271,101 S Eola Dr,"Taco Place,Mexican Restaurant,Liquor Store,Taco Place, Mexican Restaurant, and Liquor Store South Eola,Taco Place and Mexican Restaurant,Taco Place and Mexican Restaurant South Eola,Mexican Restaurants,Latin American Restaurants,Restaurants",Orlando,Mexican Restaurants,Tacos,Mucho Tequila And Tacos,32801,FL,25,40
27483,3437 Bell Blvd,Mexican Restaurant,Bayside,Latin American Restaurants,Tacos,Tequila Sunrise,11361,NY,50,55
27623,77 Saint Marks Pl,"Restaurants,Beverages Retail,Mexican Restaurants,Restaurant,Mexican Restaurant",New York,"Mexican, Regional Mexican, Traditional Mexican",Tacos,La Palapa,10003,Manhattan,50,55
27892,14755 Ventura Blvd,"Mexican Restaurant,Restaurant",Sherman Oaks,Mexican,Tacos,Anejo Cantina & Grill,91403,CA,0,30
27733,1319 18th St,"wich Place,Sandwich Place,Caterers,Restaurants,Sandwich Place Potrero Hill,Sandwich Shops,Delicatessens",San Francisco,Delicatessens,Tacos,Hazel's Kitchen,94107,CA,0,25
28036,4316 Veterans Memorial Blvd,"Burrito Place and Mexican Restaurant,Mexican Restaurant,Burrito Place,Mexican Restaurants,Restaurants,Take Out Restaurants,Caterers,Fast Food Restaurants",Metairie,Mexican Restaurants,Tacos,Izzo's Illegal Burrito,70006,LA,25,40
